date_of_purchase,name_of_purchaser,Prefix,bond_number,denominations
12-Apr-19,A B C INDIA LIMITED,TL,11448,"10,00,000"
12-Apr-19,A B C INDIA LIMITED,TL,11447,"10,00,000"
12-Apr-19,A B C INDIA LIMITED,TL,11441,"10,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1113,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1118,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1112,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1115,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1119,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1110,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1111,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1106,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1114,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,OL,1117,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,"10,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,"10,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1125,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1129,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1124,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1128,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1126,"1,00,000"
12-Apr-19,ARIHANT ENTERPRISES,TL,11551,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,TL,11554,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,TL,11553,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,TL,11552,"10,00,000"
12-Apr-19,CHOUDHARY GARMENTS,TL,12904,"10,00,000"
